description,number_of_elements,packaging_width,packaging_height
description,2297,95,51
description,2974,82,13
description,6295,68,70
description,1998,34,13
description,3308,94,59
description,1893,17,24
description,8267,22,32
description,7768,12,43
description,1389,86,73
description,6563,52,10
description,8966,24,91
description,464,39,11
description,859,74,85
description,7203,47,43
description,595,37,42
description,9098,82,32
description,5173,43,73
description,5416,11,89
description,9762,97,68
description,9033,29,77
description,4920,83,11
description,7617,54,94
description,4517,33,44
description,4138,23,25
description,9246,88,22
description,1462,47,62
description,9683,17,80
description,714,11,90
description,8758,73,33
description,1656,18,79
description,1631,99,35
description,2479,82,81
description,5484,79,57
description,5988,51,44
description,5290,98,94
description,211,52,19
description,3157,84,52
description,3298,17,58
description,267,38,86
description,5335,61,75
description,736,10,97
description,9261,71,55
description,4564,94,66
description,2780,82,13
description,3256,78,27
description,7690,89,48
description,4516,83,60
description,2196,43,25
description,9099,78,73
description,6233,33,29
description,3306,45,60
description,195,27,38
description,9008,27,29
description,518,52,12
description,5333,12,31
description,3861,79,97
description,2513,27,16
description,5551,12,43
description,2354,61,21
description,6136,47,85
description,3771,58,23
description,9668,60,57
description,7807,90,34
description,2931,89,95
description,4158,39,15
description,556,17,54
description,6512,54,50
description,8412,89,13
description,3193,52,50
description,279,50,88
description,6478,94,75
description,2200,41,72
description,9524,13,97
description,6782,83,88
description,7362,95,74
description,2770,35,60
description,9848,29,30
description,7219,68,35
description,765,43,19
description,375,41,50
description,5965,84,14
description,9005,100,82
description,8137,29,77
description,604,84,36
description,4079,76,52
description,7562,88,68
description,6842,65,76
description,2588,40,70
description,7403,64,37
description,7962,95,66
description,6820,38,80
description,302,60,97
description,1516,99,63
description,3790,46,46
description,4812,28,90
description,6368,73,75
description,4257,50,96
description,1082,34,69
description,5330,61,34
description,9736,45,34
description,1709,58,40
description,8243,91,21
description,6153,82,98
description,7906,56,11
description,2333,60,100
description,803,64,70
description,1666,33,70
description,6052,25,19
description,3800,73,30
description,8832,64,34
description,5672,47,91
description,1205,77,13
description,2753,41,76
description,6940,21,41
description,8228,77,60
description,241,80,60
description,4331,71,23
description,7128,19,30
description,1879,45,44
description,2045,66,68
description,2524,100,79
description,9967,55,69
description,654,22,52
description,1517,15,77
description,9646,37,95
description,275,21,35
description,592,53,61
description,2433,10,14
description,725,31,72
description,1849,97,18
description,2818,81,24
description,7514,59,62
description,7126,63,88
description,7072,95,51
description,2234,80,28
description,8856,20,27
description,7104,33,77
description,3529,79,31
description,8957,16,67
description,5923,49,55
description,3210,70,98
description,5119,72,49
description,645,70,82
description,8254,30,35
description,2027,67,93
description,2069,61,21
description,2611,24,16
description,6672,59,27
description,1259,12,41
description,4337,18,96
description,3687,25,73
description,9178,83,18
description,2307,62,91
description,1133,73,21
description,4520,83,28
description,6684,23,78
description,9197,56,80
description,5649,10,86
description,2364,83,66
description,7430,91,22
description,202,63,68
description,2416,27,21
description,2979,83,54
description,1808,61,81
description,8518,36,85
description,2890,23,63
description,2921,98,40
description,4098,22,25
description,5067,85,65
description,3273,24,38
description,7982,28,56
description,6693,93,25
description,7166,100,80
description,2902,11,24
description,3861,76,32
description,4782,80,98
description,9455,22,87
description,1357,46,10
description,7446,12,73
description,6091,35,42
description,395,31,95
description,5923,50,70
description,8392,96,15
description,5228,32,33
description,9434,82,48
description,8259,54,68
description,90,14,96
description,5514,64,53
description,5885,81,34
description,8530,22,63
description,8148,99,16
description,2116,35,10
description,1393,25,87
description,8204,23,90
description,8391,42,29
description,3520,31,91
description,1157,60,73
description,7673,73,82
description,4234,80,70
description,191,76,33
description,2716,12,73
description,9463,26,35
description,1557,23,22
description,5275,58,87
description,2094,30,30
description,4580,44,51
description,9883,36,58
description,4358,46,25
description,6531,13,39
description,7733,83,86
description,6224,51,23
description,9584,75,78
description,4622,85,19
description,6819,94,89
description,2832,94,69
description,4648,20,84
description,2690,94,16
description,3186,12,32
description,448,86,72
description,1031,65,53
description,2715,31,83
description,255,48,60
description,9921,15,56
description,5724,14,70
description,5471,61,80
description,9376,46,28
description,6365,44,36
description,4627,94,31
description,9251,83,53
description,2243,58,32
description,5499,89,23
description,7124,93,16
description,9049,35,16
description,1284,61,31
description,4691,18,58
description,2311,28,11
description,9822,64,79
description,9492,28,97
description,5669,87,91
description,4008,83,72
description,4739,69,18
description,2224,25,98
description,2660,37,42
description,6466,41,60
description,4266,12,64
description,6419,28,39
description,672,15,85
description,1223,84,24
description,4372,37,30
description,3846,36,15
description,6787,75,32
description,146,55,47
description,9664,60,98
description,9122,70,71
description,4019,11,12
description,4117,42,11
description,2968,58,78
description,3995,27,45
description,2414,20,89
description,5651,87,60
description,8973,72,34
description,9195,44,53
description,5661,47,62
description,2739,89,92
description,3948,87,72
description,5651,10,22
description,7272,98,69
description,8880,53,25
description,2009,79,36
description,4974,34,71
description,7905,45,81
description,7805,42,62
description,6802,54,22
description,7786,48,44
description,6864,70,59
description,3279,66,84
description,9093,14,99
description,8159,16,34
description,7551,90,75
description,5713,84,87
description,2488,39,26
description,469,50,11
description,8877,49,45
description,1328,10,19
description,4027,74,72
description,1896,80,89
description,2505,78,94
description,3782,71,56
description,1354,95,83
description,5112,66,72
description,7523,65,52
description,6068,42,92
description,8046,69,91
description,6968,98,100
description,891,35,26
description,1799,89,31
description,2637,69,64
description,4300,27,86
description,7612,70,39
description,2861,62,66
description,9533,89,31
description,2907,81,80
description,202,57,48
description,3276,71,63
description,3677,33,30
description,5494,59,31
description,9697,11,61
description,6024,58,83
description,4770,44,81
description,1955,60,13
description,1582,25,23
description,495,22,39
description,1609,60,24
description,4527,19,86
description,8545,53,69
description,4383,69,23
description,3011,21,65
description,3655,67,36
description,360,80,36
description,6626,96,72
description,5905,54,58
description,9998,19,46
description,9911,98,17
description,7051,19,59
description,4534,64,90
description,4442,55,37
description,6636,11,44
description,6612,38,38
description,6798,48,50
description,3447,78,64
description,7560,98,88
description,9522,40,11
description,8171,84,38
description,5476,59,62
description,8127,47,45
description,8076,82,61
description,7798,12,96
description,1315,61,68
description,7578,57,66
description,5419,52,66
description,1209,66,75
description,1186,91,25
description,3695,67,94
description,639,82,24
description,5152,59,50
description,5198,25,33
description,7945,28,48
description,2669,62,42
description,5191,37,90
description,8244,11,57
description,2282,44,34
description,7695,36,83
description,382,52,83
description,1567,67,98
description,6275,64,43
description,776,39,13
description,6668,86,55
description,6615,27,34
description,7959,37,31
description,5921,61,64
description,9303,33,22
description,2140,30,18
description,5584,62,22
description,5326,17,92
description,5458,81,99
description,1470,60,26
description,3424,68,52
description,7074,97,32
description,4513,67,57
description,1062,63,47
description,5120,74,83
description,535,12,22
description,9533,91,29
description,4752,25,47
description,1766,93,10
description,873,57,99
description,8667,64,12
description,3731,36,83
description,1845,85,83
description,4038,95,84
description,6550,76,52
description,4241,60,16
description,3497,53,14
description,1875,77,92
description,7003,72,64
description,6503,59,75
description,3970,34,40
description,1058,57,34
description,9620,47,82
description,7235,43,16
description,6379,92,67
description,1014,36,44
description,4373,44,13
description,6000,45,67
description,6165,25,61
description,6383,10,50
description,7021,26,17
description,7410,47,76
description,407,31,70
description,8303,39,47
description,3124,62,63
description,7638,40,22
description,779,54,42
description,4412,84,71
description,3122,77,78
description,3950,79,23
description,3564,91,74
description,9374,54,83
description,3170,48,41
description,2219,78,31
description,8704,39,80
description,6457,94,22
description,2777,93,11
description,9928,66,55
description,648,96,67
description,8619,58,78
description,7209,85,35
description,6994,53,74
description,2080,27,25
description,4419,98,20
